({{integer 1 10010}}, {{integer 1 10003}}, {{integer 1 233}}, {{float 1000 5000 2}}),
(5061, 3613, 215, 3388.95),
(9233, 3235, 16, 1177.18),
(4730, 1372, 182, 4602.49),
(6035, 7165, 164, 4417.26),
(7449, 3668, 11, 2747.31),
(2849, 4044, 6, 4051.60),
(554, 5152, 153, 2501.66),
(6143, 7704, 57, 3739.54),
(8430, 2991, 149, 4508.54),
(8538, 9202, 19, 2542.38),
(1359, 667, 21, 3357.73),
(439, 1912, 206, 4534.17),
(7123, 347, 53, 3467.42),
(3392, 4174, 141, 2412.00),
(8613, 8360, 142, 2769.74),
(2704, 1873, 191, 2345.64),
(6672, 322, 155, 1237.01),
(6147, 1506, 104, 4307.65),
(3521, 9898, 13, 2383.27),
(3337, 9439, 207, 2800.55),
(4525, 2331, 26, 4114.87),
(3847, 6104, 21, 2460.40),
(6722, 6122, 206, 1369.42),
(5300, 6578, 70, 1432.07),
(1774, 8235, 182, 3423.56),
(9858, 3984, 102, 4594.76),
(5901, 2403, 90, 3781.40),
(620, 5959, 80, 2491.02),
(682, 9774, 29, 3719.76),
(4306, 701, 228, 4649.42),
(770, 9094, 190, 4084.88),
(6673, 2869, 178, 1656.35),
(4021, 3329, 146, 4441.24),
(8164, 659, 212, 3602.29),
(324, 1938, 44, 3452.49),
(1633, 4042, 149, 3240.30),
(2183, 2475, 53, 1361.94),
(3807, 8489, 42, 4491.12),
(804, 322, 30, 1413.04),
(3597, 2432, 27, 4198.43),
(2662, 8488, 28, 4208.16),
(1106, 368, 92, 1981.35),
(1618, 6124, 77, 3616.12),
(4015, 8901, 151, 2680.67),
(9493, 6156, 23, 3746.05),
(5619, 693, 60, 1629.29),
(4133, 5023, 7, 2075.28),
(5372, 455, 183, 3191.96),
(8264, 9505, 19, 1123.55),
(2054, 7888, 163, 2346.36),
(4913, 6955, 194, 1777.32),
(1771, 7304, 88, 2233.19),
(7813, 7281, 212, 4174.76),
(9196, 101, 203, 1008.56),
(3788, 6371, 181, 3138.85),
(8585, 8649, 133, 1283.14),
(7026, 7581, 156, 2164.75),
(9937, 1479, 36, 1801.00),
(275, 1261, 55, 2638.10),
(3746, 3281, 25, 2661.92),
(7273, 4314, 223, 3392.44),
(1593, 3234, 185, 2136.62),
(8657, 5494, 184, 3836.81),
(5607, 2628, 31, 2198.13),
(4941, 5067, 39, 3993.86),
(1629, 5309, 183, 4352.15),
(1451, 679, 206, 3947.36),
(4682, 1451, 193, 4039.34),
(4071, 1893, 97, 1057.89),
(3676, 5227, 32, 1636.27),
(7463, 4342, 223, 3932.73),
(5331, 6228, 114, 3329.66),
(4845, 8470, 122, 3117.92),
(3522, 8756, 180, 4859.79),
(6269, 6375, 92, 2276.54),
(3133, 3451, 68, 3288.55),
(9718, 6100, 205, 3786.62),
(8465, 4304, 40, 4576.76),
(645, 7225, 229, 2559.39),
(9474, 4225, 213, 1375.91),
(9765, 5711, 131, 1620.09),
(4782, 9073, 105, 2413.44),
(1140, 2697, 95, 3007.06),
(2163, 1052, 131, 1260.27),
(4922, 8175, 96, 4998.26),
(5304, 6938, 42, 2206.86),
(1179, 3867, 104, 1751.33),
(1895, 2678, 206, 4075.89),
(70, 9749, 209, 2884.23),
(75, 7146, 83, 3829.92),
(775, 9882, 198, 2503.57),
(489, 4587, 59, 2567.14),
(2405, 3259, 213, 1397.35),
(2216, 3625, 156, 3689.35),
(9095, 6442, 13, 1986.92),
(5966, 4483, 77, 3202.33),
(7164, 8959, 128, 1080.35),
(7680, 2065, 125, 2929.28),
(865, 9809, 208, 3928.79),
(5254, 9002, 44, 4485.41),
(2275, 7630, 46, 4988.61),
(4573, 8682, 196, 2503.53),
(2055, 4242, 133, 1665.07),
(8528, 5468, 15, 3904.79),
(6190, 7638, 208, 2213.58),
(431, 6930, 44, 3420.54),
(194, 5874, 92, 2774.95),
(2780, 9989, 103, 2127.42),
(1206, 1743, 8, 2254.36),
(5557, 8624, 140, 3036.84),
(673, 5922, 161, 2209.40),
(9744, 9649, 160, 2112.43),
(958, 9417, 130, 1251.04),
(9169, 796, 11, 4079.63),
(7437, 2333, 224, 2555.79),
(486, 1002, 28, 3866.90),
(4959, 66, 179, 3402.66),
(2503, 3019, 86, 4437.99),
(4595, 8544, 26, 4720.94),
(2092, 4519, 79, 3531.43),
(1769, 3231, 110, 4015.65),
(4277, 277, 106, 2232.83),
(885, 7721, 18, 3893.31),
(9160, 589, 119, 4364.25),
(6937, 4346, 160, 2723.98),
(4188, 7902, 15, 2515.93),
(1272, 1824, 81, 3725.00),
(3551, 3462, 101, 1240.50),
(2002, 3975, 186, 4215.17),
(7930, 3321, 230, 2205.15),
(1649, 6981, 81, 2480.79),
(1077, 3863, 159, 3725.62),
(5233, 7111, 129, 3906.39),
(3313, 4750, 7, 3969.94),
(2838, 2551, 63, 1689.58),
(7734, 2, 141, 2191.54),
(24, 4689, 65, 3544.72),
(3374, 4755, 76, 1327.51),
(9068, 7343, 122, 2770.09),
(3828, 7517, 13, 1362.92),
(962, 900, 88, 4040.91),
(9093, 51, 211, 3530.24),
(3902, 8552, 133, 3790.13),
(2468, 6867, 92, 3709.38),
(7055, 3159, 53, 2214.44),
(7959, 495, 28, 3203.53),
(1535, 9658, 162, 3232.30),
(8352, 8005, 160, 1081.97),
(174, 9738, 151, 2571.34),
(3595, 1888, 202, 3827.78),
(9413, 9708, 119, 2963.81),
(5388, 410, 207, 1710.38),
(8363, 6207, 122, 4832.42),
(7131, 8783, 220, 1160.96),
(9340, 4135, 109, 2181.08),
(7908, 9804, 67, 1948.47),
(8737, 6156, 36, 2479.95),
(4004, 7629, 6, 2021.59),
(904, 8284, 229, 4017.91),
(4593, 7604, 178, 1928.96),
(3045, 2341, 179, 2960.86),
(8152, 5640, 53, 1212.51),
(4923, 6935, 165, 2422.94),
(2951, 4129, 48, 1155.94),
(9381, 9128, 123, 2359.44),
(8072, 4174, 82, 4566.29),
(8542, 9724, 155, 2476.78),
(5984, 1627, 145, 1999.78),
(7254, 6057, 2, 4325.97),
(9261, 3118, 196, 3417.77),
(8862, 9287, 37, 4694.64),
(2156, 6154, 154, 3721.16),
(5724, 1596, 141, 2901.64),
(3515, 1961, 116, 1222.62),
(4109, 6071, 188, 1726.21),
(4714, 293, 13, 2420.56),
(2185, 6032, 196, 3143.33),
(2915, 3663, 125, 1334.90),
(8652, 5854, 166, 1909.67),
(1524, 792, 214, 4527.11),
(9639, 5043, 53, 1961.74),
(7310, 3089, 9, 3487.05),
(287, 6758, 203, 4181.51),
(48, 2974, 140, 1110.91),
(1128, 8914, 47, 3791.89),
(7642, 6277, 165, 1605.47),
(9622, 3241, 232, 3976.30),
(1588, 2818, 27, 3639.53),
(2537, 934, 182, 1232.64),
(5127, 6080, 205, 1092.62),
(9825, 9010, 72, 2325.60),
(5200, 626, 5, 3320.51),
(4830, 3416, 82, 2762.09),
(9707, 7846, 192, 4889.26),
(1439, 3715, 6, 3595.69),
(7268, 5750, 195, 1692.90),
(9408, 5283, 56, 4895.41),
(7902, 6849, 220, 2887.24),
(2189, 2154, 11, 3745.60),
(4143, 476, 62, 2409.66),
(8927, 8604, 32, 3976.53),
(9616, 9023, 189, 3698.24),
(5981, 7705, 106, 3391.05),
(3888, 1518, 165, 4296.01),
(4956, 8726, 3, 4219.93),
(4985, 3755, 89, 2480.70),
(3549, 7280, 149, 2041.70),
(6870, 2904, 187, 4420.26),
(4067, 2597, 109, 3051.08),
(6260, 7063, 119, 4538.33),
(2121, 6053, 133, 1088.68),
(9599, 5884, 161, 1253.63),
(4368, 5722, 1, 4806.15),
(4057, 2117, 7, 3157.51),
(4176, 5532, 177, 3395.96),
(1832, 2212, 4, 2055.36),
(8892, 7405, 9, 2984.41),
(1810, 7517, 161, 3425.47),
(1493, 6013, 150, 4721.26),
(5559, 7429, 41, 4135.37),
(4306, 9606, 30, 1240.64),
(8982, 8188, 109, 1898.13),
(528, 2430, 170, 4860.70),
(4266, 8064, 1, 2430.60),
(54, 9249, 215, 2090.77),
(2242, 7021, 1, 1338.65),
(447, 7444, 29, 4871.94),
(5402, 5243, 2, 2218.82),
(1083, 1023, 146, 2205.00),
(4467, 4231, 147, 3340.73),
(5965, 7540, 175, 4992.73),
(9817, 4711, 211, 2844.14),
(1799, 8584, 79, 2995.00),
(1994, 7124, 125, 1119.56),
(2748, 3838, 204, 4026.47),
(6729, 7944, 116, 3304.24),
(2550, 2123, 119, 1810.38),
(6767, 2317, 229, 2238.64),
(4588, 510, 143, 1035.32),
(6494, 5398, 35, 4916.51),
(5047, 7361, 93, 1797.34),
(7368, 5968, 98, 3350.03),
(2634, 9450, 57, 2030.63),
(1985, 8925, 41, 3287.12),
(5848, 5773, 140, 4650.00),
(5373, 5084, 206, 2539.05),
(700, 8223, 112, 1680.00),
(8848, 8750, 38, 1610.44),
(3739, 7769, 194, 1087.83),
(4090, 3126, 209, 3656.98),
(1830, 3925, 165, 2843.18),
(5142, 617, 55, 1121.66),
(6918, 9168, 19, 4956.62),
(10008, 3489, 188, 3903.78),
(5515, 2308, 159, 2734.90),
(1824, 2909, 66, 1683.55),
(9404, 1169, 160, 2924.37),
(5351, 6048, 207, 2261.30),
(2137, 5260, 41, 3179.68),
(4372, 9176, 83, 4352.85),
(9517, 3502, 179, 3248.05),
(3391, 6387, 1, 3536.29),
(2767, 7744, 34, 1457.10),
(4571, 6767, 231, 4637.77),
(7837, 1779, 127, 3665.73),
(9188, 4705, 18, 2226.16),
(89, 5015, 7, 3354.37),
(374, 8729, 76, 3614.57),
(4365, 9220, 139, 4438.89),
(3181, 3011, 91, 3388.14),
(9525, 5177, 96, 4002.97),
(3428, 1676, 89, 4964.93),
(3750, 2791, 65, 4567.59),
(1384, 7691, 18, 2889.39),
(5650, 8225, 170, 2583.12),
(3792, 6413, 172, 1977.28),
(7444, 607, 112, 3798.87),
(6519, 4320, 191, 4929.15),
(4711, 6803, 228, 2497.52),
(948, 1350, 192, 2943.02),
(7323, 256, 165, 2272.67),
(757, 871, 120, 1112.85),
(4163, 9500, 90, 1153.26),
(6173, 6468, 21, 1480.48),
(1287, 7425, 189, 2843.44),
(9570, 7015, 126, 3543.37),
(7801, 2996, 35, 2426.57),
(9960, 9272, 230, 1734.04),
(8076, 3548, 19, 3923.59),
(2513, 9189, 55, 4431.42),
(2172, 7094, 189, 4471.97),
(7701, 752, 83, 4447.47),
(3355, 3430, 28, 1694.01),
(8382, 5689, 211, 1331.93),
(1707, 8066, 170, 4669.70),
(4262, 4739, 170, 2328.00),
(4700, 817, 126, 2486.11),
(3432, 9678, 80, 4075.19),
(3079, 7815, 151, 2199.64),
(9390, 2276, 206, 3247.59),
(5491, 4885, 160, 4774.15),
(5329, 7750, 70, 2378.61),
(1876, 3772, 102, 2289.91),
(24, 901, 178, 2148.90),
(3057, 576, 93, 2712.02),
(9568, 2015, 168, 2628.58),
(2316, 9921, 161, 3647.50),
(8469, 6596, 73, 2934.29),
(5416, 906, 64, 4970.39),
(6257, 450, 13, 4704.40),
(9603, 1451, 176, 1234.89),
(2314, 5303, 221, 3057.09),
(6960, 9246, 56, 3576.16),
(2653, 7661, 114, 1558.74),
(273, 9067, 230, 3387.33),
(3336, 7666, 104, 2248.12),
(5646, 5627, 151, 4498.17),
(8607, 8502, 214, 3595.92),
(3765, 1476, 191, 2651.05),
(6008, 2302, 60, 2583.94),
(7241, 9909, 204, 4199.53),
(5342, 9213, 189, 1388.00),
(4143, 9502, 158, 1942.78),
(9676, 2718, 136, 3493.86),
(3050, 8791, 56, 1542.33),
(9606, 1348, 161, 2787.31),
(1871, 2168, 16, 3028.61),
(6242, 6467, 97, 1741.99),
(2424, 5305, 138, 4326.57),
(9394, 1140, 43, 4622.48),
(9162, 3614, 219, 3413.86),
(1709, 5651, 33, 3959.74),
(2803, 2560, 29, 3711.57),
(8546, 8631, 31, 2631.35),
(1166, 7742, 208, 1915.03),
(6553, 7602, 23, 4731.67),
(485, 9785, 24, 4875.59),
(4295, 3774, 167, 1408.55),
(4604, 9864, 33, 3234.31),
(2763, 5603, 78, 2825.47),
(9938, 5507, 202, 1529.42),
(3977, 3093, 145, 3589.85),
(8732, 8434, 114, 3727.69),
(9764, 8886, 140, 4552.80),
(6220, 2788, 201, 3857.96),
(744, 5164, 90, 2491.99),
(1658, 2224, 166, 4218.05),
(8833, 2549, 186, 3562.71),
(8180, 4093, 137, 3247.03),
(6807, 243, 65, 1160.42),
(2934, 5361, 111, 3760.56),
(9661, 979, 60, 2079.27),
(4254, 7273, 210, 2585.05),
(2362, 9135, 41, 3264.05),
(3384, 1330, 47, 4020.20),
(9476, 4436, 161, 4981.08),
(2616, 2020, 96, 1902.98),
(5765, 1473, 180, 4362.02),
(2774, 911, 30, 1973.38),
(3641, 6008, 143, 4732.74),
(4676, 8862, 147, 4528.90),
(5955, 1785, 125, 2218.04),
(3275, 4635, 191, 2776.70),
(2199, 921, 41, 4079.92),
(7270, 8154, 184, 1148.21),
(9241, 7296, 98, 3996.50),
(3006, 6411, 60, 2578.31),
(3495, 5258, 39, 1761.81),
(9669, 1158, 20, 3268.33),
(2646, 1304, 224, 2757.90),
(925, 5952, 144, 4717.90),
(7988, 4902, 208, 1040.38),
(6038, 8540, 134, 3630.84),
(5259, 2969, 178, 1572.86),
(3308, 3391, 44, 4912.26),
(484, 1793, 14, 1593.86),
(4227, 3079, 232, 4259.02),
(5748, 2521, 96, 3257.72),
(4833, 1460, 129, 1733.73),
(6786, 6572, 189, 4617.27),
(8612, 5592, 208, 4038.15),
(8564, 1522, 30, 4314.24),
(1553, 1890, 44, 1573.98),
(5462, 8919, 198, 4674.91),
(5916, 2206, 8, 1346.54),
(657, 4974, 22, 3764.90),
(1546, 3370, 8, 2626.11),
(6023, 3333, 64, 4672.52),
(722, 8038, 206, 1944.36),
(7516, 4791, 48, 3406.97),
(394, 5853, 86, 2616.07),
(1819, 5632, 176, 1734.61),
(3219, 9155, 96, 1851.90),
(1035, 4696, 60, 4137.94),
(5887, 1858, 135, 1845.91),
(3280, 9528, 53, 1587.17),
(7430, 8738, 108, 1443.32),
(3733, 4280, 175, 3667.95),
(884, 437, 213, 4894.69),
(7061, 5523, 150, 3236.41),
(5808, 9889, 216, 4791.07),
(2860, 5513, 8, 4925.25),
(4371, 1543, 66, 3080.95),
(5306, 5300, 33, 2723.60),
(6930, 8577, 198, 1975.60),
(6121, 9220, 214, 1728.90),
(601, 6015, 192, 1777.53),
(9816, 8895, 44, 1842.46),
(5363, 2960, 137, 2021.61),
(9367, 8094, 152, 1489.14),
(2749, 7538, 228, 4906.18),
(78, 5951, 226, 2472.04),
(2354, 1926, 203, 2983.26),
(8518, 4334, 8, 3857.35),
(7108, 2761, 60, 3919.29),
(3967, 7641, 27, 4089.06),
(9208, 5876, 9, 2358.79),
(637, 4403, 47, 4180.77),
(211, 9870, 34, 3084.00),
(2647, 6393, 60, 2927.53),
(1992, 8447, 107, 1008.99),
(6220, 8746, 134, 2770.90),
(2143, 6109, 218, 4593.63),
(2112, 8231, 106, 1678.10),
(2960, 1119, 72, 1701.62),
(7770, 1506, 199, 4748.12),
(6533, 3741, 220, 4077.59),
(10008, 1821, 192, 4586.44),
(1223, 8034, 120, 1781.14),
(3592, 4361, 222, 2301.25),
(1818, 8212, 171, 2028.08),
(1239, 2681, 208, 2779.85),
(2814, 9049, 150, 1118.19),
(6352, 2873, 196, 2304.90),
(516, 7970, 159, 2716.15),
(4793, 5406, 2, 1481.75),
(4135, 3929, 157, 2033.27),
(5762, 972, 110, 3024.85),
(4807, 4586, 82, 4569.19),
(3365, 5659, 108, 3627.39),
(3093, 2938, 162, 1206.14),
(5029, 3861, 61, 4902.56),
(4540, 28, 5, 3656.12),
(3036, 2495, 173, 1314.85),
(3390, 8472, 205, 2788.40),
(3515, 2104, 32, 1394.08),
(1708, 5038, 14, 1712.44),
(1913, 3159, 214, 1593.10),
(5052, 5950, 96, 4135.88),
(2703, 3104, 59, 1393.41),
(3908, 7309, 184, 1764.98),
(1823, 7984, 127, 4633.34),
(7144, 7357, 39, 2984.15),
(4852, 6687, 81, 1616.46),
(5322, 6654, 184, 2552.26),
(4863, 6388, 13, 3162.72),
(9249, 729, 202, 1514.21),
(6903, 5451, 214, 2872.89),
(7819, 9543, 53, 3837.78),
(6580, 302, 137, 1075.64),
(4463, 5842, 164, 3810.89),
(7301, 1946, 56, 3511.19),
(1034, 4279, 31, 2487.59),
(9265, 2710, 228, 4666.72),
(6814, 1025, 65, 2539.95),
(2181, 6349, 160, 3396.10),
(7355, 2177, 98, 1257.81),
(6046, 5628, 151, 3957.53),
(902, 8477, 123, 4932.03),
(2017, 385, 76, 3754.92),
(9718, 5911, 39, 3506.22),
(131, 2016, 81, 3328.45),
(5585, 6950, 167, 1217.47),
(9941, 6981, 54, 4228.05),
(7748, 6840, 191, 1352.40),
(9281, 9129, 1, 4647.49),
(7688, 1938, 71, 1006.81),
(5693, 3195, 53, 1571.73),
(1294, 6078, 124, 2050.92),
(8728, 9110, 38, 1980.39),
(3568, 1236, 181, 1807.08),
(7425, 3461, 58, 2075.56),
(281, 4840, 103, 4915.32),
(149, 6462, 47, 2758.40),
(149, 9923, 186, 2712.10),
(5298, 9275, 185, 1981.59),
(9885, 3186, 20, 3750.12),
(5900, 635, 129, 3800.28),
(5245, 1587, 164, 3332.31),
(4773, 6595, 62, 4832.81),
(5654, 7147, 138, 4915.07),
(8213, 2582, 145, 3379.49),
(2810, 2966, 57, 2516.67),
(1237, 3534, 74, 4413.99),
(753, 7259, 162, 3905.35),
(4798, 9245, 175, 2232.25),
(1224, 7748, 180, 2467.82),
(5012, 9340, 52, 1194.01),
(8483, 417, 130, 4572.11),
(7370, 623, 15, 3637.77),
(5015, 826, 95, 3739.64),
(2639, 4162, 193, 4555.20),
(4421, 589, 9, 3542.41),
(5799, 8920, 17, 2591.32),
(9897, 2029, 183, 3025.02),
(6683, 6936, 42, 1666.04),
(2545, 1085, 133, 1791.70),
(6617, 7079, 157, 2318.98),
(8648, 1367, 209, 4265.62),
(534, 9234, 30, 3452.36),
(1203, 7751, 189, 1552.32),
(6599, 4454, 222, 2258.25),
(3173, 2270, 193, 4124.02),
(8390, 5244, 166, 2942.44),
(2742, 172, 137, 3916.87),
(4417, 1446, 103, 2601.72),
(4037, 138, 231, 3308.49),
(4215, 24, 40, 2525.11),
(4717, 9830, 193, 4332.42),
(1301, 819, 128, 2731.88),
(2633, 3952, 57, 2355.09),
(2707, 7278, 224, 2535.83),
(3452, 2812, 88, 4499.54),
(8292, 392, 15, 4120.87),
(1059, 1593, 163, 4915.53),
(9479, 2787, 96, 3225.47),
(4731, 2181, 117, 1236.83),
(8088, 1809, 182, 3310.78),
(7152, 1666, 98, 4784.33),
(7072, 7055, 230, 1621.54),
(5436, 3437, 59, 1756.88),
(2541, 1, 152, 4539.27),
(4649, 6818, 177, 1420.18),
(1810, 2434, 23, 1872.09),
(5314, 8344, 168, 1523.28),
(5970, 1219, 197, 4696.76),
(8907, 4259, 84, 2735.01),
(3106, 5751, 226, 4400.60),
(5784, 7440, 122, 4264.17),
(6381, 4639, 156, 3537.67),
(8961, 4934, 128, 2293.05),
(9173, 5288, 206, 2322.38),
(3529, 8724, 91, 3288.42),
(7747, 437, 15, 2560.90),
(8221, 6887, 10, 3369.79),
(1524, 4628, 144, 2620.11),
(4043, 870, 225, 1579.92),
(5575, 9288, 27, 2778.92),
(1732, 3157, 48, 4633.06),
(7193, 4923, 22, 3293.62),
(7937, 2672, 122, 4562.61),
(6677, 3173, 53, 3656.04),
(9463, 3189, 36, 1549.63),
(6403, 5225, 208, 3651.60),
(7242, 3532, 212, 4791.28),
(3861, 8942, 73, 1290.48),
(391, 6093, 105, 2674.55),
(2016, 3501, 214, 1729.06),
(6989, 9410, 187, 3872.57),
(8504, 8734, 229, 4347.82),
(1067, 5622, 3, 4065.51),
(2163, 7875, 143, 3220.56),
(1247, 8250, 21, 4966.18),
(9604, 7482, 156, 3860.15),
(7528, 2998, 132, 1887.39),
(2340, 8504, 231, 1801.80),
(5157, 8842, 67, 1301.66),
(7095, 2120, 27, 3434.31),
(3545, 9481, 119, 4406.08),
(5508, 8945, 215, 1561.44),
(1226, 7256, 141, 3461.93),
(1471, 2249, 144, 2591.48),
(8264, 8537, 117, 4339.62),
(684, 2621, 150, 3751.41),
(2720, 7429, 70, 4264.85),
(846, 6919, 187, 2639.91),
(4907, 8587, 147, 2456.25),
(9954, 5551, 48, 4207.19),
(3398, 5781, 135, 1161.74),
(5714, 8469, 75, 4880.02),
(1017, 6762, 32, 4474.33),
(32, 5936, 104, 2727.17),
(2656, 712, 35, 2765.51),
(171, 5074, 13, 4444.27),
(8975, 147, 112, 2325.59),
(749, 5887, 128, 4723.23),
(9539, 6164, 212, 1232.35),
(844, 1296, 147, 1276.15),
(5491, 8676, 172, 3092.95),
(8068, 4910, 180, 3984.18),
(4102, 2360, 118, 4572.21),
(8001, 8024, 49, 1240.47),
(6511, 2441, 173, 4747.07),
(8640, 2217, 138, 2391.04),
(8333, 8965, 186, 1773.34),
(893, 608, 199, 1472.06),
(4388, 7423, 202, 1017.04),
(7106, 7502, 196, 3558.92),
(8022, 7552, 153, 2599.37),
(8403, 596, 180, 2526.32),
(8826, 5780, 5, 1295.79),
(1525, 2593, 129, 1294.63),
(9341, 9242, 33, 4256.83),
(7823, 8913, 66, 1120.72),
(1612, 7141, 192, 1561.42),
(6808, 3983, 53, 3503.87),
(9178, 4134, 82, 4957.28),
(7451, 4107, 54, 4152.56),
(7264, 7015, 156, 2281.48),
(4721, 3932, 6, 3244.26),
(5337, 6275, 28, 3217.35),
(1431, 891, 119, 4642.53),
(6649, 982, 124, 4127.47),
(7224, 8666, 230, 3417.32),
(983, 6078, 141, 2653.85),
(8744, 5961, 177, 3835.88),
(658, 3937, 58, 2128.07),
(3580, 3603, 118, 1752.20),
(9058, 1685, 25, 1149.18),
(3709, 2067, 6, 1633.72),
(7159, 8386, 210, 2913.10),
(794, 7364, 200, 2298.83),
(4164, 9238, 197, 2167.24),
(8806, 2757, 119, 3561.31),
(111, 4884, 56, 4453.05),
(3936, 7285, 85, 4405.10),
(4156, 4355, 34, 4806.31),
(3952, 2947, 10, 2401.28),
(6232, 7910, 128, 4564.32),
(6699, 3542, 148, 1146.74),
(2759, 4362, 172, 4530.98),
(9969, 4179, 157, 2409.10),
(3195, 4793, 52, 2546.28),
(8244, 8152, 37, 3093.69),
(4000, 6909, 21, 3791.86),
(2207, 7188, 67, 3448.09),
(5854, 8232, 228, 2927.47),
(4590, 3979, 200, 4650.46),
(6373, 27, 149, 3663.57),
(7836, 589, 172, 3978.64),
(9071, 1797, 131, 3564.39),
(5580, 2174, 87, 3941.84),
(9618, 7971, 35, 1709.70),
(9412, 8304, 108, 2295.08),
(9797, 9009, 52, 2079.82),
(6523, 748, 187, 2594.44),
(8690, 6653, 64, 4363.79),
(2451, 4072, 71, 2223.09),
(5853, 2419, 76, 3167.38),
(3459, 5920, 108, 2316.83),
(3058, 5612, 97, 1082.09),
(6488, 3540, 127, 1241.74),
(3625, 2813, 152, 1493.72),
(544, 9276, 70, 3278.54),
(1272, 3385, 28, 1257.33),
(1560, 7758, 203, 2543.99),
(1147, 8974, 222, 1392.60),
(3438, 9248, 175, 2633.76),
(2332, 4985, 9, 3045.15),
(7421, 6211, 219, 3307.42),
(5233, 6943, 70, 3208.41),
(1634, 1949, 111, 1696.61),
(2703, 4123, 109, 2347.37),
(5730, 3707, 195, 2915.14),
(7953, 8090, 17, 1245.20),
(1834, 5144, 76, 4494.59),
(6743, 2326, 133, 3931.24),
(3413, 7240, 106, 4417.29),
(4239, 378, 210, 2045.29),
(5383, 9481, 28, 3412.86),
(1858, 6867, 71, 4435.99),
(8172, 4505, 35, 4421.76),
(7367, 8582, 186, 3885.13),
(260, 4351, 216, 4863.78),
(1190, 7819, 53, 3875.15),
(7766, 9402, 4, 2649.79),
(9878, 5495, 179, 2701.19),
(4882, 1810, 226, 2764.25),
(1470, 7820, 62, 3633.36),
(1682, 3657, 81, 4565.79),
(9226, 2625, 146, 1296.58),
(8035, 3448, 227, 3980.14),
(9538, 7800, 54, 4089.14),
(915, 1861, 50, 3728.99),
(5811, 2875, 172, 1006.54),
(4446, 712, 116, 3972.06),
(7520, 9158, 11, 2195.33),
(8480, 8421, 29, 4515.18),
(4302, 9050, 65, 4168.43),
(6701, 2368, 186, 1242.65),
(3733, 924, 103, 4809.85),
(4470, 8365, 120, 3430.66),
(8689, 2324, 33, 4822.19),
(9295, 76, 169, 1423.69),
(8825, 6052, 152, 1471.81),
(7363, 7527, 210, 3845.88),
(2099, 1931, 181, 2512.68),
(8830, 3579, 117, 4855.57),
(7855, 4355, 189, 3963.31),
(6681, 1144, 173, 3394.07),
(7882, 9437, 66, 1745.09),
(7061, 6824, 65, 2279.85),
(3271, 1405, 175, 4037.53),
(7529, 3524, 54, 3221.99),
(1730, 1259, 144, 2138.83),
(8718, 130, 133, 1614.36),
(3928, 8206, 171, 3863.54),
(2584, 7228, 180, 1971.73),
(9811, 6908, 70, 4570.35),
(5879, 5397, 47, 3811.37),
(6400, 2446, 112, 3831.15),
(4967, 3813, 216, 3911.75),
(8576, 9184, 19, 2334.44),
(7548, 3427, 57, 1886.88),
(8057, 5301, 50, 2010.64),
(3613, 5048, 184, 4437.45),
(4696, 7767, 222, 1113.22),
(6500, 4325, 93, 3187.31),
(695, 717, 12, 2065.68),
(3962, 8480, 170, 4395.01),
(4519, 7256, 144, 3462.02),
(1235, 4798, 52, 3236.93),
(8003, 9078, 219, 1944.01),
(7397, 1552, 163, 1901.40),
(6183, 8245, 66, 2176.49),
(9938, 8022, 13, 1217.91),
(8470, 5823, 201, 4505.08),
(8778, 890, 124, 2135.88),
(235, 1430, 169, 4427.15),
(6587, 781, 194, 2346.37),
(7831, 2489, 98, 4304.62),
(8045, 637, 206, 1951.06),
(3328, 6623, 210, 2701.30),
(7719, 136, 208, 1251.53),
(8245, 2293, 190, 2766.55),
(3200, 4021, 59, 3660.65),
(7602, 5400, 61, 4429.46),
(4359, 4213, 124, 4390.64),
(901, 3032, 140, 3705.47),
(7249, 7620, 54, 3175.32),
(3279, 9973, 155, 1068.02),
(5698, 3202, 52, 3234.07),
(3782, 5089, 226, 1557.74),
(9645, 414, 18, 2287.74),
(6970, 4501, 178, 3737.92),
(659, 1902, 10, 4918.89),
(4682, 3957, 131, 2739.62),
(7197, 3680, 188, 3737.49),
(3042, 7534, 219, 3635.58),
(2303, 4382, 148, 1637.15),
(2835, 2016, 85, 3517.11),
(7057, 6183, 101, 1078.76),
(6703, 7705, 108, 2882.76),
(7061, 5254, 175, 3953.21),
(4288, 4454, 205, 2878.81),
(9571, 9400, 19, 2794.32),
(2444, 4556, 147, 3914.46),
(2164, 4856, 64, 2531.33),
(1177, 9582, 214, 1872.13),
(6676, 9541, 196, 2479.16),
(6394, 3648, 181, 2797.69),
(8679, 9346, 42, 3745.73),
(8914, 1420, 185, 1836.67),
(4577, 2210, 4, 1382.64),
(2423, 8645, 97, 2408.80),
(9159, 7876, 145, 2196.45),
(6575, 3671, 82, 4949.48),
(6946, 8559, 136, 4234.29),
(1600, 5341, 156, 4165.85),
(2040, 823, 92, 3983.14),
(3798, 3292, 160, 4488.07),
(8692, 7322, 147, 2152.51),
(9717, 8004, 126, 2255.81),
(7415, 6821, 114, 3935.51),
(1333, 4856, 167, 1378.29),
(7001, 4133, 56, 1509.53),
(8790, 8505, 96, 3208.13),
(2983, 4063, 179, 1007.55),
(2306, 6146, 154, 2901.36),
(2744, 6865, 65, 2672.39),
(1151, 7524, 108, 4247.41),
(1353, 4758, 44, 3014.25),
(6700, 845, 138, 2068.90),
